Treatment	Chamber	WDH	Seconds	Date(Y-M-D)	Time(H:M:S)	CO2(ppm)	H2O(ppt)	H2O(C)	Cell_Temperature(C)	Cell_Pressure(kPa)	CO2_Absorption	H2O_Absorption
AQ	1	A	1	2020-03-23	08:40:41	448,37	12,73	10,07	51,31	97,31	0,0896	0,0742
AQ	1	A	2	2020-03-23	08:40:42	448,65	12,78	10,13	51,31	97,28	0,0895	0,0745
AQ	1	A	3	2020-03-23	08:40:43	448,65	12,78	10,13	51,31	97,28	0,0895	0,0745
AQ	1	A	4	2020-03-23	08:40:44	449,2	12,77	10,12	51,25	97,31	0,0896	0,0746
AQ	1	A	5	2020-03-23	08:40:45	449,05	12,85	10,21	51,25	97,3	0,0897	0,0748
AQ	1	A	6	2020-03-23	08:40:46	449,49	12,86	10,23	51,25	97,31	0,0897	0,0749
AQ	1	A	7	2020-03-23	08:40:47	449,8	12,88	10,25	51,28	97,31	0,0897	0,0749
AQ	1	A	8	2020-03-23	08:40:48	450,95	12,89	10,26	51,29	97,3	0,0899	0,075
AQ	1	A	9	2020-03-23	08:40:49	450,83	12,91	10,29	51,27	97,3	0,0899	0,0751
AQ	1	A	10	2020-03-23	08:40:50	451,11	12,93	10,31	51,25	97,29	0,0899	0,0751
AQ	1	A	11	2020-03-23	08:40:51	452,23	12,96	10,34	51,25	97,29	0,0901	0,0753
AQ	1	A	12	2020-03-23	08:40:52	452,5	12,98	10,37	51,25	97,3	0,0901	0,0754
AQ	1	A	13	2020-03-23	08:40:53	452,3	13,05	10,44	51,25	97,3	0,0902	0,0757
AQ	1	A	14	2020-03-23	08:40:54	453,81	13,06	10,46	51,23	97,3	0,0902	0,0757
AQ	1	A	15	2020-03-23	08:40:55	453,58	13,07	10,47	51,25	97,31	0,0902	0,0757
AQ	1	A	16	2020-03-23	08:40:56	454,78	13,1	10,5	51,24	97,31	0,0905	0,0758
AQ	1	A	17	2020-03-23	08:40:57	454,57	13,13	10,53	51,23	97,29	0,0903	0,076
AQ	1	A	18	2020-03-23	08:40:58	455,42	13,16	10,57	51,21	97,3	0,0905	0,0761
AQ	1	A	19	2020-03-23	08:40:59	456,11	13,15	10,56	51,21	97,3	0,0907	0,076
AQ	1	A	20	2020-03-23	08:41:00	456,54	13,18	10,6	51,2	97,31	0,0907	0,0762
AQ	1	A	21	2020-03-23	08:41:01	456,56	13,24	10,66	51,23	97,29	0,0906	0,0764
AQ	1	A	22	2020-03-23	08:41:02	457,08	13,22	10,64	51,23	97,3	0,0908	0,0763
AQ	1	A	23	2020-03-23	08:41:03	458,31	13,27	10,69	51,23	97,31	0,0909	0,0764
AQ	1	A	24	2020-03-23	08:41:04	458,6	13,26	10,68	51,2	97,29	0,0909	0,0766
AQ	1	A	25	2020-03-23	08:41:05	459,11	13,31	10,74	51,17	97,29	0,0911	0,0767
AQ	1	A	26	2020-03-23	08:41:06	459,7	13,32	10,76	51,17	97,3	0,0911	0,0768
AQ	1	A	27	2020-03-23	08:41:07	459,16	13,36	10,8	51,17	97,3	0,091	0,0769
AQ	1	A	28	2020-03-23	08:41:08	460,84	13,37	10,81	51,17	97,3	0,0913	0,0769
AQ	1	A	29	2020-03-23	08:41:09	461,34	13,39	10,84	51,2	97,3	0,0914	0,0771
AQ	1	A	30	2020-03-23	08:41:10	461,62	13,4	10,84	51,19	97,29	0,0914	0,0771
AQ	1	A	31	2020-03-23	08:41:11	462,4	13,42	10,86	51,17	97,29	0,0915	0,077
AQ	1	A	32	2020-03-23	08:41:12	462,88	13,43	10,88	51,17	97,28	0,0916	0,0772
AQ	1	A	33	2020-03-23	08:41:13	463,38	13,47	10,92	51,15	97,3	0,0917	0,0773
AQ	1	A	34	2020-03-23	08:41:14	463,34	13,47	10,92	51,17	97,29	0,0916	0,0773
AQ	1	A	35	2020-03-23	08:41:15	464,14	13,52	10,98	51,17	97,29	0,0918	0,0776
AQ	1	A	36	2020-03-23	08:41:16	464,95	13,53	10,99	51,17	97,3	0,0918	0,0775
AQ	1	A	37	2020-03-23	08:41:17	464,54	13,52	10,97	51,17	97,31	0,0918	0,0775
AQ	1	A	38	2020-03-23	08:41:18	465,95	13,56	11,02	51,17	97,31	0,092	0,0777
AQ	1	A	39	2020-03-23	08:41:19	465,51	13,58	11,04	51,15	97,28	0,0919	0,0778
AQ	1	A	40	2020-03-23	08:41:20	466,58	13,58	11,04	51,12	97,29	0,0921	0,0778
AQ	1	A	41	2020-03-23	08:41:21	467,71	13,61	11,08	51,12	97,31	0,0923	0,0779
AQ	1	A	42	2020-03-23	08:41:22	466,64	13,61	11,08	51,13	97,31	0,0921	0,078
AQ	1	A	43	2020-03-23	08:41:23	466,86	13,63	11,1	51,17	97,31	0,0922	0,0779
AQ	1	A	44	2020-03-23	08:41:24	468,24	13,66	11,13	51,17	97,29	0,0923	0,0781
AQ	1	A	45	2020-03-23	08:41:25	469,09	13,65	11,12	51,17	97,29	0,0925	0,078
AQ	1	A	46	2020-03-23	08:41:26	468,89	13,67	11,14	51,13	97,29	0,0924	0,0781
