dataID	beetles	precipitation	altitude	temperature	minTemp	region	plot	year	technician	spatialCoordinate
1	0	0.18488226	0	11.42928621	-7.172112497	1	1	1	1	0
2	0	0.702374036	0	9.521042205	-7.614958576	1	1	2	3	0
3	0	0.573326335	0	13.08511354	-9.756505511	1	1	3	5	0
4	0	0.16805192	0	12.29406373	-7.590246999	1	1	4	2	0
5	0	0.943839339	0	10.23432313	-12.25832379	1	1	5	2	0
6	0	0.943474959	0	9.686697574	-8.641787162	1	1	6	3	0
7	0	0.129158977	0	11.26971281	-9.066595318	1	1	7	5	0
8	0	0.833448816	0	13.77559099	-9.097322076	1	1	8	1	0
9	0	0.468018516	0	12.46014447	-8.944075317	1	1	9	5	0
10	0	0.549983742	0	11.20413407	-5.661595775	1	1	10	1	0
11	0	0.552674067	0	13.91448851	-6.075593803	1	1	11	1	0
12	0	0.238894759	0	11.13632888	-5.633735049	1	1	12	4	0
13	0	0.760513313	0	10.34585026	-7.979719248	1	1	13	1	0
14	2	0.180820101	0	11.32540927	-6.598687982	1	1	14	4	0
15	3	0.405282181	0	14.03195361	-3.994724197	1	1	15	5	0
16	0	0.853548453	0	10.00079144	-10.9803211	1	1	16	2	0
17	0	0.976398489	0	9.654815149	-11.25879733	1	1	17	5	0
18	0	0.225825461	0	10.50060696	-14.16411977	1	1	18	4	0
19	0	0.444809229	0	14.20140626	-1.387710438	1	1	19	4	0
20	0	0.074979425	0	10.18858259	-9.32441406	1	1	20	1	0
21	0	0.661898758	0.020408163	9.548121023	-11.33432177	1	2	1	4	0.612244898
22	2	0.387549543	0.020408163	13.44088601	-3.99078042	1	2	2	4	0.612244898
23	0	0.836889177	0.020408163	11.82252648	-9.895622141	1	2	3	2	0.612244898
24	0	0.150501441	0.020408163	11.01427618	-9.498160219	1	2	4	4	0.612244898
25	0	0.347272249	0.020408163	9.829312376	-11.38890414	1	2	5	1	0.612244898
26	1	0.488773231	0.020408163	13.19858595	-2.809583765	1	2	6	1	0.612244898
27	0	0.149246863	0.020408163	14.6544944	-9.43918172	1	2	7	1	0.612244898
28	0	0.35706259	0.020408163	10.68288762	-5.023899796	1	2	8	2	0.612244898
29	0	0.962644048	0.020408163	11.99527518	-4.684944991	1	2	9	1	0.612244898
30	3	0.132372003	0.020408163	13.88388559	-2.272705396	1	2	10	5	0.612244898
31	5	0.010414525	0.020408163	13.22548342	-6.719350259	1	2	11	4	0.612244898
32	1	0.164642242	0.020408163	11.52421942	-6.514432848	1	2	12	2	0.612244898
33	0	0.810192144	0.020408163	13.89477456	-1.920347007	1	2	13	3	0.612244898
34	0	0.868861037	0.020408163	13.298024	-5.836332977	1	2	14	3	0.612244898
35	0	0.514281763	0.020408163	13.05085786	-3.883184217	1	2	15	5	0.612244898
36	3	0.627196287	0.020408163	12.86826718	-8.120005704	1	2	16	1	0.612244898
37	0	0.844429003	0.020408163	11.5086687	-14.66542192	1	2	17	3	0.612244898
38	0	0.284870574	0.020408163	9.638107161	-6.823683701	1	2	18	3	0.612244898
39	1	0.667225648	0.020408163	13.16687093	-3.592311954	1	2	19	4	0.612244898
40	0	0.150469752	0.020408163	10.11426974	-4.751867887	1	2	20	3	0.612244898
41	0	0.981727862	0.040816327	11.5715992	-10.18646798	1	3	1	1	1.224489796
42	0	0.297010735	0.040816327	12.94362531	-11.39429634	1	3	2	4	1.224489796
43	7	0.115084075	0.040816327	13.60538298	-8.840581036	1	3	3	5	1.224489796
44	1	0.163200872	0.040816327	13.37276242	-6.253952052	1	3	4	4	1.224489796
45	0	0.944041808	0.040816327	12.10352557	-10.58445274	1	3	5	3	1.224489796
46	0	0.794863824	0.040816327	11.5294092	-10.02817008	1	3	6	1	1.224489796
47	0	0.974687898	0.040816327	11.56392161	-10.12135765	1	3	7	4	1.224489796
48	1	0.349088411	0.040816327	13.90695696	-7.322251692	1	3	8	5	1.224489796
49	2	0.501969881	0.040816327	11.54677169	-4.643153855	1	3	9	4	1.224489796
50	0	0.810397263	0.040816327	13.93587336	-4.54123766	1	3	10	3	1.224489796
51	10	0.007109038	0.040816327	13.54119008	-8.102996956	1	3	11	5	1.224489796
52	5	0.014693911	0.040816327	11.57045629	-8.59278826	1	3	12	5	1.224489796
53	0	0.683403423	0.040816327	13.32670123	-9.597778921	1	3	13	1	1.224489796
54	0	0.929720222	0.040816327	12.38961507	-12.14724214	1	3	14	4	1.224489796
55	0	0.275401199	0.040816327	12.07766126	-12.1098032	1	3	15	1	1.224489796
56	0	0.811859695	0.040816327	9.155051539	-13.12450316	1	3	16	3	1.224489796
57	0	0.785878913	0.040816327	13.7707765	-7.023373973	1	3	17	2	1.224489796
58	0	0.988902156	0.040816327	11.02884416	-11.5233713	1	3	18	1	1.224489796
59	2	0.61395291	0.040816327	11.74525134	-7.597318489	1	3	19	5	1.224489796
60	1	0.71018573	0.040816327	9.979693345	-12.71575141	1	3	20	1	1.224489796
61	0	0.770027857	0.06122449	8.95962383	-16.01516855	1	4	1	5	1.836734694
62	0	0.886984157	0.06122449	9.707520662	-10.70772078	1	4	2	3	1.836734694
63	0	0.62512173	0.06122449	10.78483009	-5.44505942	1	4	3	3	1.836734694
64	0	0.260300035	0.06122449	10.81372889	-10.80614028	1	4	4	1	1.836734694
65	0	0.859073118	0.06122449	13.54748063	-7.930855963	1	4	5	5	1.836734694
66	6	0.437488002	0.06122449	12.16804619	-4.681978866	1	4	6	5	1.836734694
67	6	0.388144758	0.06122449	13.61946737	-3.69718055	1	4	7	5	1.836734694
68	0	0.461501105	0.06122449	12.79000023	-5.910747734	1	4	8	1	1.836734694
69	5	0.218675193	0.06122449	11.70568348	-8.062748103	1	4	9	5	1.836734694
70	7	0.06593551	0.06122449	12.74911602	-4.785640562	1	4	10	5	1.836734694
71	0	0.275701027	0.06122449	10.87213201	-6.22802458	1	4	11	3	1.836734694
72	0	0.310381097	0.06122449	14.11191343	-5.218674631	1	4	12	4	1.836734694
73	0	0.042175526	0.06122449	14.27150301	-2.40704377	1	4	13	3	1.836734694
74	5	0.184673463	0.06122449	10.22863895	-7.427574673	1	4	14	4	1.836734694
75	0	0.183373228	0.06122449	11.31057244	-11.19875222	1	4	15	3	1.836734694
76	0	0.755462416	0.06122449	13.00268434	-6.120891319	1	4	16	3	1.836734694
77	5	0.288059732	0.06122449	13.81710897	-2.245959724	1	4	17	5	1.836734694
78	0	0.867844662	0.06122449	8.839404825	-10.92444208	1	4	18	2	1.836734694
79	0	0.402642736	0.06122449	12.94291645	-2.27796089	1	4	19	2	1.836734694
80	1	0.572685004	0.06122449	9.383524896	-12.7665197	1	4	20	4	1.836734694
81	0	0.350642575	0.081632653	11.84302313	-4.191701599	1	5	1	2	2.448979592
82	0	0.671998928	0.081632653	11.33179661	-0.972341354	1	5	2	1	2.448979592
83	0	0.025050357	0.081632653	11.85791348	-4.032920717	1	5	3	1	2.448979592
84	1	0.401101038	0.081632653	10.4498246	-6.085061587	1	5	4	4	2.448979592
85	0	0.19997653	0.081632653	10.31805161	-9.292108582	1	5	5	2	2.448979592
86	0	0.856525001	0.081632653	12.52094565	-11.93325399	1	5	6	1	2.448979592
87	0	0.971515429	0.081632653	13.32905156	-8.958974041	1	5	7	4	2.448979592
88	0	0.323722437	0.081632653	12.07265218	-11.79174888	1	5	8	5	2.448979592
89	0	0.733191433	0.081632653	9.610768993	-13.18394113	1	5	9	2	2.448979592
90	2	0.34006824	0.081632653	9.578971023	-9.592375888	1	5	10	4	2.448979592
91	0	0.976755185	0.081632653	12.10557435	-8.10141021	1	5	11	1	2.448979592
92	0	0.397016412	0.081632653	9.841055737	-11.62358968	1	5	12	3	2.448979592
93	0	0.379998879	0.081632653	10.76086184	-12.25691164	1	5	13	4	2.448979592
94	1	0.56038763	0.081632653	13.81529126	-7.695747124	1	5	14	5	2.448979592
95	0	0.463808179	0.081632653	9.727036881	-6.373839546	1	5	15	4	2.448979592
96	0	0.196776827	0.081632653	10.88110008	-12.39992736	1	5	16	3	2.448979592
97	0	0.426943403	0.081632653	9.607313251	-14.12052806	1	5	17	1	2.448979592
98	0	0.093025187	0.081632653	9.993624516	-12.88719842	1	5	18	1	2.448979592
99	0	0.115309127	0.081632653	14.31731821	-6.571364852	1	5	19	1	2.448979592
100	0	0.440031654	0.081632653	12.15452789	-5.734005459	1	5	20	2	2.448979592
101	29	0.20093473	0.102040816	12.35255766	-6.360555246	2	6	1	5	3.06122449
102	0	0.427639073	0.102040816	10.25200242	-13.15386907	2	6	2	5	3.06122449
103	2	0.980599982	0.102040816	11.92902533	-11.90924267	2	6	3	5	3.06122449
104	0	0.828922126	0.102040816	9.559687737	-10.14829067	2	6	4	2	3.06122449
105	0	0.286973855	0.102040816	13.25613258	-8.632040699	2	6	5	3	3.06122449
106	0	0.595916897	0.102040816	9.989584093	-5.646229181	2	6	6	3	3.06122449
107	9	0.898971946	0.102040816	13.10105769	-4.182173574	2	6	7	5	3.06122449
108	3	0.453377	0.102040816	13.90797549	-7.964611161	2	6	8	4	3.06122449
109	7	0.147417779	0.102040816	11.41021612	-7.720489884	2	6	9	1	3.06122449
110	20	0.128676983	0.102040816	11.56939647	-4.463979409	2	6	10	4	3.06122449
111	4	0.024656338	0.102040816	13.28671231	-9.703216559	2	6	11	1	3.06122449
112	2	0.736311375	0.102040816	12.89886938	-9.44210738	2	6	12	4	3.06122449
113	3	0.373358564	0.102040816	10.34226307	-10.03045562	2	6	13	5	3.06122449
114	0	0.57437694	0.102040816	9.736510326	-12.63084014	2	6	14	4	3.06122449
115	0	0.825328013	0.102040816	13.45120449	-10.78070113	2	6	15	4	3.06122449
116	0	0.813695674	0.102040816	10.15207899	-10.15942692	2	6	16	2	3.06122449
117	0	0.87269634	0.102040816	13.16871119	-3.271415688	2	6	17	2	3.06122449
118	14	0.1105549	0.102040816	11.57871489	-8.339376081	2	6	18	4	3.06122449
119	1	0.952700237	0.102040816	11.26220074	-9.260971591	2	6	19	1	3.06122449
120	25	0.569002081	0.102040816	12.59778569	-8.037387474	2	6	20	5	3.06122449
121	4	0.036868471	0.12244898	13.08375455	-8.900705367	2	7	1	4	3.673469388
122	3	0.245290916	0.12244898	10.95389826	-4.334748299	2	7	2	5	3.673469388
123	0	0.978884799	0.12244898	9.397892308	-4.857374901	2	7	3	3	3.673469388
124	0	0.885737232	0.12244898	8.8675459	-12.1495099	2	7	4	5	3.673469388
125	0	0.240982898	0.12244898	13.66459411	-8.549483037	2	7	5	2	3.673469388
126	0	0.75721157	0.12244898	10.19316341	-11.64935075	2	7	6	1	3.673469388
127	0	0.562836519	0.12244898	9.141733704	-9.699709492	2	7	7	2	3.673469388
128	0	0.305103095	0.12244898	9.527336371	-14.53142644	2	7	8	4	3.673469388
129	1	0.693654087	0.12244898	9.129849285	-7.921428176	2	7	9	4	3.673469388
130	0	0.335945604	0.12244898	10.13160008	-3.698773071	2	7	10	2	3.673469388
